time,open,high,low,close,volume
2023-08-24 09:45:00,1665.05,1665.48,1664.04,1665.48,1209.868
2023-08-24 09:46:00,1665.48,1665.90,1665.40,1665.81,1039.596
2023-08-24 09:47:00,1665.81,1666.00,1665.64,1665.95,638.589
2023-08-24 09:48:00,1665.96,1666.32,1665.95,1666.31,595.019
2023-08-24 09:49:00,1666.32,1666.32,1664.80,1664.80,573.384
2023-08-24 09:50:00,1664.81,1666.00,1664.81,1665.51,746.429
2023-08-24 09:51:00,1665.50,1666.00,1665.50,1666.00,369.383
2023-08-24 09:52:00,1666.00,1666.46,1665.99,1666.03,454.565
2023-08-24 09:53:00,1666.04,1666.56,1665.77,1666.56,853.358
2023-08-24 09:54:00,1666.56,1666.61,1666.55,1666.59,235.693
2023-08-24 09:55:00,1666.58,1666.87,1666.58,1666.87,606.406
2023-08-24 09:56:00,1666.88,1667.49,1666.87,1667.24,1005.593
2023-08-24 09:57:00,1667.24,1668.54,1667.23,1668.44,2360.277
2023-08-24 09:58:00,1668.43,1668.48,1668.06,1668.06,765.575
2023-08-24 09:59:00,1668.06,1668.25,1668.05,1668.24,561.708
2023-08-24 10:00:00,1668.21,1668.21,1666.85,1667.96,1088.121
2023-08-24 10:01:00,1667.96,1668.61,1667.71,1667.72,876.087
2023-08-24 10:02:00,1667.72,1668.40,1667.71,1667.71,447.635
2023-08-24 10:03:00,1667.71,1668.41,1667.71,1668.20,554.496
2023-08-24 10:04:00,1668.20,1668.80,1667.80,1668.80,738.655
2023-08-24 10:05:00,1668.79,1668.96,1667.80,1667.80,865.895
2023-08-24 10:06:00,1667.80,1667.81,1666.33,1666.49,1356.526
2023-08-24 10:07:00,1666.48,1667.15,1666.05,1667.00,631.035
2023-08-24 10:08:00,1667.01,1667.50,1667.00,1667.50,380.962
2023-08-24 10:09:00,1667.49,1667.49,1666.69,1667.17,476.049
2023-08-24 10:10:00,1667.17,1667.60,1666.76,1667.60,1129.303
2023-08-24 10:11:00,1667.60,1667.97,1667.59,1667.96,238.872
2023-08-24 10:12:00,1667.96,1668.27,1667.96,1668.26,397.958
2023-08-24 10:13:00,1668.27,1668.27,1668.09,1668.10,507.264
2023-08-24 10:14:00,1668.09,1668.10,1667.69,1667.93,419.108
2023-08-24 10:15:00,1667.92,1668.33,1667.42,1668.32,757.526
2023-08-24 10:16:00,1668.33,1668.86,1668.32,1668.64,387.977
2023-08-24 10:17:00,1668.63,1668.64,1668.00,1668.59,551.339
2023-08-24 10:18:00,1668.60,1668.60,1667.94,1667.94,445.730
2023-08-24 10:19:00,1667.95,1668.17,1667.10,1667.68,553.037
2023-08-24 10:20:00,1667.68,1668.32,1667.67,1668.31,242.086
2023-08-24 10:21:00,1668.31,1668.56,1668.18,1668.22,385.035
2023-08-24 10:22:00,1668.22,1668.22,1667.17,1667.17,696.098
2023-08-24 10:23:00,1667.17,1667.17,1666.20,1666.35,1006.808
2023-08-24 10:24:00,1666.35,1666.60,1666.35,1666.41,495.167
2023-08-24 10:25:00,1666.40,1667.12,1666.13,1667.06,1584.823
2023-08-24 10:26:00,1667.06,1667.07,1666.56,1666.65,525.179
2023-08-24 10:27:00,1666.64,1667.13,1666.33,1666.82,454.176
2023-08-24 10:28:00,1666.82,1667.32,1666.61,1667.00,322.584
2023-08-24 10:29:00,1667.00,1667.20,1667.00,1667.02,148.673
2023-08-24 10:30:00,1667.01,1667.13,1666.33,1667.12,1226.893
2023-08-24 10:31:00,1667.13,1667.49,1667.13,1667.49,450.010
2023-08-24 10:32:00,1667.48,1667.71,1667.42,1667.59,991.842
2023-08-24 10:33:00,1667.58,1667.58,1666.88,1667.07,608.695
